actmovie.exe,b010fb33c42026ac3d8eb7220e8978de,GetStartupInfoA,GetModuleHandleA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auditusr.exe,951f2e5bd8c493ed8ee50580bf7c64d7,RegEnumValueW,RegCloseKey,LookupAccountSidW,RegOpenKeyExW,LookupAccountNameW,ConvertStringSidToSidW,AuthziQueryAuditPolicy,GetLastError,GetCurrentProcess,TerminateProcess,QueryPerformanceCounter,RtlLengthSid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autochk.exe,d151bb583b74ee9c21fecaaa4a51b4e3,NtQuerySymbolicLinkObject,RtlFormatMessage,RtlCreateSecurityDescriptor,RtlSetGroupSecurityDescriptor,RtlInitializeSid,NtCreateEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoconv.exe,cb98faf225e70b33842ca8454111e679,NtQuerySymbolicLinkObject,RtlFormatMessage,RtlCreateSecurityDescriptor,RtlSetGroupSecurityDescriptor,RtlInitializeSid,NtCreateEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autofmt.exe,3cca53450d541706d61da2549993bcc4,NtQuerySymbolicLinkObject,RtlFormatMessage,RtlCreateSecurityDescriptor,RtlSetGroupSecurityDescriptor,RtlInitializeSid,NtCreateEvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autolfn.exe,be24fa961802673d762cb30e50a79f3e,RtlNormalizeProcessParams,NtQuerySymbolicLinkObject,NtSetInformationFile,RtlInitUnicodeString,NtQueryDirectoryObject,NtTerminateProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blastcln.exe,56133a8d43f060f409f3e034ac0d790c,CloseServiceHandle,RegDeleteValueW,RegCloseKey,OpenProcessToken,AdjustTokenPrivileges,EnumServicesStatusExW,FreeSid,GetStdHandle,WaitForSingleObject,HeapDestroy,GetFileAttributesW,FreeEnvironmentStringsA,DeleteCriticalSection,GetCurrentProcess,GetLocaleInfoA,FreeEnvironmentStringsW,SetStdHandle,GetCPInfo,GetStringTypeA,InterlockedExchange,WriteFile,GetSystemTimeAsFileTime,HeapReAlloc,GetStringTypeW,LocalFree,FormatMessageW,InitializeCriticalSection,TlsGetValue,SetFileAttributesW,SetLastError,HeapAlloc,GetVersionExA,GetModuleFileNameA,UnhandledExceptionFilter,MultiByteToWideChar,GetModuleHandleA,MoveFileExW,GetSystemDirectoryW,SetUnhandledExceptionFilter,SetEnvironmentVariableA,TerminateProcess,VirtualQuery,SetEndOfFile,GetCurrentThreadId,HeapFree,EnterCriticalSection,SetHandleCount,GetVersionExW,GetOEMCP,QueryPerformanceCounter,GetTickCount,TlsAlloc,VirtualProtect,FlushFileBuffers,LoadLibraryA,RtlUnwind,GetStartupInfoA,GetWindowsDirectoryW,GetFileSize,OpenProcess,ReadProcessMemory,DeleteFileW,GetProcAddress,GetProcessHeap,CreateFileMappingW,CompareStringW,CompareStringA,GetTimeZoneInformation,CreateFileW,GetFileType,TlsSetValue,ExitProcess,LeaveCriticalSection,GetLastError,LCMapStringW,UnmapViewOfFile,GetSystemInfo,LCMapStringA,GetEnvironmentStringsW,GetEnvironmentStrings,GetCurrentProcessId,WideCharToMultiByte,GetCommandLineA,MapViewOfFile,TlsFree,SetFilePointer,ReadFile,CloseHandle,GetACP,GetModuleHandleW,HeapCreate,VirtualFree,VirtualAlloc,GetModuleInformation,EnumProcesses,GetModuleFileNameExW,EnumProcessModules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bootcfg.exe,ffe0a9a07bde3a929aed2598e504374d,RegConnectRegistryW,RegCloseKey,RegQueryValueExW,RegOpenKeyExW,GetLastError,GetStdHandle,FileTimeToSystemTime,LoadLibraryW,FreeLibrary,lstrcmpiW,lstrlenW,VerifyVersionInfoW,VerSetConditionMask,GetConsoleMode,WritePrivateProfileSectionW,MultiByteToWideChar,GetProcAddress,GetPrivateProfileStringW,WritePrivateProfileStringW,lstrcpynW,GetTimeFormatW,lstrcpyW,WideCharToMultiByte,GetModuleHandleA,ReadFile,GetComputerNameExW,lstrcmpW,lstrcatW,GetPrivateProfileSectionW,LocalFree,FormatMessageW,SetConsoleMode,WriteConsoleW,ReadConsoleW,SetLastError,WNetGetLastErrorW,WNetCancelConnection2W,WNetAddConnection2W,NetServerGetInfo,NetApiBufferFree,StrCmpNW,GetUserNameExW,LoadStringW,CharLowerW,CharUpperW,WSAStartup,WSACleanup,WSAGetLastError,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bootok.exe,f3433238ba25764f05b4ea1156cf003e,NotifyBootConfigStatus,GetLastError,GetModuleHandleA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bootvrfy.exe,d8a6bf2eadb02e4a1fe02e98f9b79c0f,NotifyBootConfigStatus,SetServiceStatus,RegisterServiceCtrlHandlerW,OpenSCManagerW,OpenServiceW,ControlService,StartServiceCtrlDispatcherW,GetLastError,GetModuleHandleA,WaitForSingleObject,SetEvent,CreateEventA,ExitProcess,ExitThread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacls.exe,6debb7fb73142358bf14a81938855407,SetSecurityDescriptorDacl,GetFileSecurityW,LookupAccountSidW,GetSecurityDescriptorDacl,SetFileSecurityW,InitializeAcl,EqualSid,GetLastError,FormatMessageW,GetStdHandle,WideCharToMultiByte,LocalAlloc,GetModuleHandleA,LocalFree,FindNextFileW,SetThreadUILanguage,GetConsoleMode,FindClose,GetVolumePathNameW,FormatMessageA,GetFullPathNameW,GetVolumeInformationW,FindFirstFileW,lstrcmpiW,lstrlenW,WriteConsoleW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
